t,H2O2,OH,HO2,H2O,O2
-20.0,523605600000000.0,0.0,0.0,0.0,0.0
-19.8,523605600000000.0,0.0,0.0,0.0,0.0
-19.6,523605600000000.0,0.0,0.0,0.0,0.0
-19.4,523605600000000.0,0.0,0.0,0.0,0.0
-19.2,523605600000000.0,0.0,0.0,0.0,0.0
-19.0,523605600000000.0,0.0,0.0,0.0,0.0
-18.8,523605600000000.0,0.0,0.0,0.0,0.0
-18.6,523605600000000.0,0.0,0.0,0.0,0.0
-18.4,523605600000000.0,0.0,0.0,0.0,0.0
-18.2,523605600000000.0,0.0,0.0,0.0,0.0
-18.0,523605600000000.0,0.0,0.0,0.0,0.0
-17.8,523605600000000.0,0.0,0.0,0.0,0.0
-17.6,523605600000000.0,0.0,0.0,0.0,0.0
-17.4,523605600000000.0,0.0,0.0,0.0,0.0
-17.2,523605600000000.0,0.0,0.0,0.0,0.0
-17.0,523605600000000.0,0.0,0.0,0.0,0.0
-16.8,523605600000000.0,0.0,0.0,0.0,0.0
-16.6,523605600000000.0,0.0,0.0,0.0,0.0
-16.4,523605600000000.0,0.0,0.0,0.0,0.0
-16.2,523605600000000.0,0.0,0.0,0.0,0.0
-16.0,523605600000000.0,0.0,0.0,0.0,0.0
-15.8,523605600000000.0,0.0,0.0,0.0,0.0
-15.6,523605600000000.0,0.0,0.0,0.0,0.0
-15.399999999999999,523605600000000.0,0.0,0.0,0.0,0.0
-15.2,523605600000000.0,0.0,0.0,0.0,0.0
-15.0,523605600000000.0,0.0,0.0,0.0,0.0
-14.8,523605600000000.0,0.0,0.0,0.0,0.0
-14.6,523605600000000.0,0.0,0.0,0.0,0.0
-14.399999999999999,523605600000000.0,0.0,0.0,0.0,0.0
-14.2,523605600000000.0,0.0,0.0,0.0,0.0
-14.0,523605600000000.0,0.0,0.0,0.0,0.0
-13.8,523605600000000.0,0.0,0.0,0.0,0.0
-13.6,523605600000000.0,0.0,0.0,0.0,0.0
-13.399999999999999,523605600000000.0,0.0,0.0,0.0,0.0
-13.2,523605600000000.0,0.0,0.0,0.0,0.0
-13.0,523605600000000.0,0.0,0.0,0.0,0.0
-12.8,523605600000000.0,0.0,0.0,0.0,0.0
-12.6,523605600000000.0,0.0,0.0,0.0,0.0
-12.399999999999999,523605600000000.0,0.0,0.0,0.0,0.0
-12.2,523605600000000.0,0.0,0.0,0.0,0.0
-12.0,523605600000000.0,0.0,0.0,0.0,0.0
-11.799999999999999,523605600000000.0,0.0,0.0,0.0,0.0
-11.6,523605600000000.0,0.0,0.0,0.0,0.0
-11.4,523605600000000.0,0.0,0.0,0.0,0.0
-11.2,523605600000000.0,0.0,0.0,0.0,0.0
-11.0,523605600000000.0,0.0,0.0,0.0,0.0
-10.799999999999999,523605600000000.0,0.0,0.0,0.0,0.0
-10.6,523605600000000.0,0.0,0.0,0.0,0.0
